,salario,Feminino,Masculino,min,max
0,0,5.0,27.0,0.0,1000.0
1,500,5.0,27.0,0.0,1000.0
2,1000,23.0,102.0,1000.0,2000.0
3,1500,23.0,102.0,1000.0,2000.0
4,2000,40.0,140.0,2000.0,3000.0
5,2500,40.0,140.0,2000.0,3000.0
6,3000,40.0,143.0,3000.0,4000.0
7,3500,40.0,143.0,3000.0,4000.0
8,4000,83.0,317.0,4000.0,6000.0
9,4500,83.0,317.0,4000.0,6000.0
10,5000,83.0,317.0,4000.0,6000.0
11,5500,83.0,317.0,4000.0,6000.0
12,6000,80.0,313.0,6000.0,8000.0
13,6500,80.0,313.0,6000.0,8000.0
14,7000,80.0,313.0,6000.0,8000.0
15,7500,80.0,313.0,6000.0,8000.0
16,8000,97.0,382.0,8000.0,12000.0
17,8500,97.0,382.0,8000.0,12000.0
18,9000,97.0,382.0,8000.0,12000.0
19,9500,97.0,382.0,8000.0,12000.0
20,10000,97.0,382.0,8000.0,12000.0
21,10500,97.0,382.0,8000.0,12000.0
22,11000,97.0,382.0,8000.0,12000.0
23,11500,97.0,382.0,8000.0,12000.0
24,12000,34.0,229.0,12000.0,16000.0
25,12500,34.0,229.0,12000.0,16000.0
26,13000,34.0,229.0,12000.0,16000.0
27,13500,34.0,229.0,12000.0,16000.0
28,14000,34.0,229.0,12000.0,16000.0
29,14500,34.0,229.0,12000.0,16000.0
30,15000,34.0,229.0,12000.0,16000.0
31,15500,34.0,229.0,12000.0,16000.0
32,16000,16.0,113.0,16000.0,20000.0
33,16500,16.0,113.0,16000.0,20000.0
34,17000,16.0,113.0,16000.0,20000.0
35,17500,16.0,113.0,16000.0,20000.0
36,18000,16.0,113.0,16000.0,20000.0
37,18500,16.0,113.0,16000.0,20000.0
38,19000,16.0,113.0,16000.0,20000.0
39,19500,16.0,113.0,16000.0,20000.0
40,20000,8.0,54.0,20000.0,25000.0
41,20500,8.0,54.0,20000.0,25000.0
42,21000,8.0,54.0,20000.0,25000.0
43,21500,8.0,54.0,20000.0,25000.0
44,22000,8.0,54.0,20000.0,25000.0
45,22500,8.0,54.0,20000.0,25000.0
46,23000,8.0,54.0,20000.0,25000.0
47,23500,8.0,54.0,20000.0,25000.0
48,24000,8.0,54.0,20000.0,25000.0
49,24500,8.0,54.0,20000.0,25000.0
50,25000,4.0,39.0,25000.0,30000.0
51,25500,4.0,39.0,25000.0,30000.0
52,26000,4.0,39.0,25000.0,30000.0
53,26500,4.0,39.0,25000.0,30000.0
54,27000,4.0,39.0,25000.0,30000.0
55,27500,4.0,39.0,25000.0,30000.0
56,28000,4.0,39.0,25000.0,30000.0
57,28500,4.0,39.0,25000.0,30000.0
58,29000,4.0,39.0,25000.0,30000.0
59,29500,4.0,39.0,25000.0,30000.0
60,30000,3.0,34.0,30000.0,40000.0
61,30500,3.0,34.0,30000.0,40000.0
62,31000,3.0,34.0,30000.0,40000.0
63,31500,3.0,34.0,30000.0,40000.0
64,32000,3.0,34.0,30000.0,40000.0
65,32500,3.0,34.0,30000.0,40000.0
66,33000,3.0,34.0,30000.0,40000.0
67,33500,3.0,34.0,30000.0,40000.0
68,34000,3.0,34.0,30000.0,40000.0
69,34500,3.0,34.0,30000.0,40000.0
70,35000,3.0,34.0,30000.0,40000.0
71,35500,3.0,34.0,30000.0,40000.0
72,36000,3.0,34.0,30000.0,40000.0
73,36500,3.0,34.0,30000.0,40000.0
74,37000,3.0,34.0,30000.0,40000.0
75,37500,3.0,34.0,30000.0,40000.0
76,38000,3.0,34.0,30000.0,40000.0
77,38500,3.0,34.0,30000.0,40000.0
78,39000,3.0,34.0,30000.0,40000.0
79,39500,3.0,34.0,30000.0,40000.0
80,40000,3.0,31.0,40000.0,50000.0
81,40500,3.0,31.0,40000.0,50000.0
82,41000,3.0,31.0,40000.0,50000.0
83,41500,3.0,31.0,40000.0,50000.0
84,42000,3.0,31.0,40000.0,50000.0
85,42500,3.0,31.0,40000.0,50000.0
86,43000,3.0,31.0,40000.0,50000.0
87,43500,3.0,31.0,40000.0,50000.0
88,44000,3.0,31.0,40000.0,50000.0
89,44500,3.0,31.0,40000.0,50000.0
90,45000,3.0,31.0,40000.0,50000.0
91,45500,3.0,31.0,40000.0,50000.0
92,46000,3.0,31.0,40000.0,50000.0
93,46500,3.0,31.0,40000.0,50000.0
94,47000,3.0,31.0,40000.0,50000.0
95,47500,3.0,31.0,40000.0,50000.0
96,48000,3.0,31.0,40000.0,50000.0
97,48500,3.0,31.0,40000.0,50000.0
98,49000,3.0,31.0,40000.0,50000.0
99,49500,3.0,31.0,40000.0,50000.0
100,50000,3.0,31.0,40000.0,50000.0
