,salario,Masculino,Feminino
0,1500.0,4.757462686567164,4.665314401622718
1,2500.0,6.529850746268656,8.113590263691684
2,3500.0,6.669776119402986,8.113590263691684
3,5000.0,14.785447761194028,16.835699797160245
4,7000.0,14.598880597014926,16.227180527383368
5,10000.0,17.817164179104477,19.675456389452332
6,14000.0,10.680970149253731,6.896551724137931
7,18000.0,5.270522388059701,3.2454361054766734
8,22500.0,2.5186567164179103,1.6227180527383367
9,27500.0,1.8190298507462688,0.8113590263691683
10,35000.0,1.585820895522388,0.6085192697768762
11,41000.0,1.4458955223880596,0.6085192697768762
